Function,Name,Enable,SVNPath,SVNVersion,AppPath,AppName,AppVersion,DestPath,Remark
App,aa,1,http://192.168.0.59/repos/sys/aa/aa-uc1.05-tag8127,0,app,aa,_UC_V1.05_,,
,acd,1,http://192.168.0.59/repos/sys/acd/uc-1.05-tag8209,0,src,acd,_UC_V1.05_,,
,audioserver,1,http://192.168.0.59/repos/sys/audioserver/uc_1.05_tag8990,0,src/app,audioserver,_UC_V1.05_,,
,accessgw,1,http://192.168.0.59/repos/sys/accessgw/trunk,0,accessgw,accessgw,_UC_V1.05_,,
,b2bua,1,http://192.168.0.59/repos/sys/b2bua/mtc/release_UC_V1.05,0,app,b2bua,_UC_V1.05_,,
,bmsserver,1,http://192.168.0.59/repos/sys/BMSServer/Branchs/BMSServer_UC1.05,0,BillSystem,bmsserver,_UC_V1.05_,,
,ca,1,http://192.168.0.59/repos/sys/ca/ca_UC1.05_tag8843,0,ca,ca,_UC_V1.05_,,
,callserver,1,http://192.168.0.59/repos/sys/callserver/callserver_uc1.05,0,appservice,callserver,_UC_V1.05_,,
,callmonitor,1,http://192.168.0.59/repos/sys/CallMonitServer/uc_v1.05_tag8983,0,src,callmonitor,_UC_V1.05_,,
,recmanage,1,http://192.168.0.59/repos/sys/recsys/trunk/recmanagement,0,storemanagement,recmanage,_UC_V1.05_,,
,ccm,1,http://192.168.0.59/repos/sys/ccm/uc_1.05-tag7442,0,src,ccm,_UC_V1.05_,,
,cfgserver,1,http://192.168.0.59/repos/sys/cfgserver/cfgserver_V1.13,0,src,cfgserver,_UC_V1.05_,,
,confserver,1,http://192.168.0.59/repos/sys/confserver/uc-1.05-tag7438,0,src,confserver,_UC_V1.05_,,
,faxserver,1,http://192.168.0.59/repos/sys/faxserver/uc_1.05_tag8984,0,src,faxserver,_UC_V1.05_,,
,gwcfgproxy,1,http://192.168.0.59/repos/sys/gwcfgproxy/trunk,0,src,gwcfgproxy,_UC_V1.05_,,
,hotelserver,1,http://192.168.0.59/repos/sys/hotelserver/hotelserver_UC_v1.05/Code,0,src,hotelserver,_UC_V1.05_,,
,approute,1,http://192.168.0.59/repos/sys/ipaserver/AppRoute/uc_1.05_tag7955,0,src,approute,_UC_V1.05_,,
,msserver,1,http://192.168.0.59/repos/sys/msserver/msserver_uc1.05_tag6647,0,src,msserver,_UC_V1.05_,,
,postoffice,1,http://192.168.0.59/repos/sys/postoffice/uc_v1.05_tag7497,0,src,postoffice,_UC_V1.05_,,
,powerctrl,1,http://192.168.0.59/repos/sys/powerctrl/powerctrl-uc1.05,0,src,powerctrl,_UC_V1.05_,,
,rtpproxy,1,http://192.168.0.59/repos/sys/rtpproxy/uc-1.05-tag7867,0,src,rtpproxy,_UC_V1.05_,,
,sipt,1,http://192.168.0.59/repos/sys/ccm/uc_1.05-tag7442,0,src,sipt,_UC_V1.05_,,
,sysmeasure,1,http://192.168.0.59/repos/sys/sysmeasure,0,src,sysmeasure,_UC_V1.05_,,
,vm,1,http://192.168.0.59/repos/sys/vm/uc_v1.05_tag7494/forspmst,0,src/app,vm,_UC_V1.05_,,
,UserStateServer,1,http://192.168.0.59/repos/sys/UserStateServer/trunk,0,main,UserStateServer,_UC_V1.05_,,
,FtpPathServer,1,http://192.168.0.59/repos/sys/FtpPathServer/trunk,0,.,FtpPathServer,_UC_V1.05_,,
,UpdateDb,1,http://192.168.0.59/repos/sys/encryptDB/branch-uc1.05,0,src,UpdateDb,_UC_V1.05_,,
,cfgjsonserver,1,http://192.168.0.59/repos/sys/cfgjsonserver/trunk,0,.,cfgjsonserver,_UC_V1.05_,,
,ha,1,http://192.168.0.59/repos/sys/ha/uc1.05_tag8194,0,src,ha,_UC_V1.05_,,
,SendHaCmd,1,http://192.168.0.59/repos/sys/ha/uc1.05_tag8194,0,src,SendHaCmd,_UC_V1.05_,,
,licmag,1,http://192.168.0.59/repos/sys/LicenseV2/licmag/licmsg_uc1.05_tag8570,0,src,licmag,_UC_V1.05_,,
,ntx_sendmail,1,http://192.168.0.59/repos/sys/ntx_sendmail,0,src,ntx_sendmail,_UC_V1.05_,,
,control_gw,1,http://192.168.0.59/repos/sys/misc/Code,0,src,control_gw,_UC_V1.05_,,

,libDbComplexQuery.so,1,http://192.168.0.59/repos/sys/FtpPathServer/trunk,0,.,libDbComplexQuery.so,_UC_V1.05_,,
,libDbMtcGroupQuery.so,1,http://192.168.0.59/repos/sys/FtpPathServer/trunk,0,.,libDbMtcGroupQuery.so,_UC_V1.05_,,
,libDbSimpleQuery.so,1,http://192.168.0.59/repos/sys/FtpPathServer/trunk,0,.,libDbSimpleQuery.so,_UC_V1.05_,,
,libDbConsoleQuery.so,1,http://192.168.0.59/repos/sys/FtpPathServer/trunk,0,.,libDbConsoleQuery.so,_UC_V1.05_,,
,libaastub.so,1,http://192.168.0.59/repos/sys/aa/aa-uc1.05-tag8127/ivrexterlib,0,.,libaastub.so,_UC_V1.05_,,
,libivrexter.so,1,http://192.168.0.59/repos/sys/aa/aa-uc1.05-tag8127/ivrexterlib,0,.,libivrexter.so,_UC_V1.05_,,
,libaudiostreamclient.so,1,http://192.168.0.59/repos/sys/audioserver/audiostreamclient,0,src,libaudiostreamclient.so,_UC_V1.05_,,
,libLicAPI.so,1,http://192.168.0.59/repos/sys/LicenseV2/licapi/licapi_uc105_8848,0,src,libLicAPI.so,_UC_V1.05_,,
,libSystem.so,1,http://192.168.0.59/repos/sys/system/system-uc1.05/Code,0,src,libSystem.so,_UC_V1.05_,,
,liblicmag.so,1,http://192.168.0.59/repos/sys/LicenseV2/licmag/licmsg_uc1.05_tag8570,0,src,liblicmag.so,_UC_V1.05_,,

,lib,2,http://192.168.0.59/repos/sys/lib/lib-uc1.05,0,,,,,

Config,ippbx,1,http://192.168.0.59/repos/sys/AutoPack/UC_V1.05/ippbx,0,,,,,
,system,1,http://192.168.0.59/repos/sys/AutoPack/UC_V1.05/system,0,,,,,
,update.sh,1,http://192.168.0.59/repos/sys/AutoPack/UC_V1.05/update.sh,0,,,,,

DependLib,mysql,0,,,,,,/home/ippbx/,
,ncftp,0,,,,,,/home/ippbx/,
,system,0,,,,,,/home/ippbx/,
,lib,0,,,,,,/home/ippbx/,
